! TRANSPORT DATA

O               0    80.000     2.750     0.000     0.000     0.000
H               0   145.000     2.050     0.000     0.000     0.000
OH              1    80.000     2.750     0.000     0.000     0.000
H2              1    38.000     2.920     0.000     0.790   280.000
O2              1   107.400     3.458     0.000     1.600     3.800
H2O             2   572.400     2.605     1.844     0.000     4.000
HO2             2   107.400     3.458     0.000     0.000     1.000
H2O2            2   107.400     3.458     0.000     0.000     3.800
CO              1    98.100     3.650     0.000     1.950     1.800
CO2             1   244.000     3.763     0.000     2.650     2.100
HCO             2   498.000     3.590     0.000     0.000     0.000
CH2O            2   498.000     3.590     0.000     0.000     2.000
CH3O            2   417.000     3.690     1.700     0.000     2.000
CH2CO           2   436.000     3.970     0.000     0.000     2.000
HCCO            2   150.000     2.500     0.000     0.000     1.000
CH2OH           2   417.000     3.690     1.700     0.000     2.000
CH3OH           2   481.800     3.626     0.000     0.000     1.000
CH3             1   144.000     3.800     0.000     0.000     0.000
CH4             2   141.400     3.746     0.000     2.600    13.000
C2H2            1   265.300     3.721     0.000     0.000     2.500
C2H3            2   265.300     3.721     0.000     0.000     1.000
C2H4            2   238.400     3.496     0.000     0.000     1.500
C2H5            2   247.500     4.350     0.000     0.000     1.500
C3H4            1   324.800     4.290     0.000     0.000     1.000
C3H5            2   316.000     4.220     0.000     0.000     1.000
C3H6            2   307.800     4.140     0.000     0.000     1.000
C3H7            2   303.400     4.810     0.000     0.000     1.000
C7H16           2   563.150     6.030     0.000    13.610     1.000
C7H15           2   563.150     6.030     0.000    13.610     1.000
C7H14           2   558.040     5.890     0.000    13.510     1.000
C7H14OO         2   546.850     5.990     0.000    13.610     1.000
C7H15OO         2   561.000     6.317     1.700     0.000     1.000
C7H14OOH        2   561.000     6.317     1.700     0.000     1.000
OOC7H14OOH      2   561.000     6.317     1.700     0.000     1.000
C7KET           2   546.850     5.990     0.000    13.610     1.000
C5H11CO         2   498.600     6.009     2.000     0.000     1.000
MD9D            2   636.200     6.807     1.700    21.690     1.000
MD9DJ           2   636.200     6.807     1.700    21.690     1.000
MD9DJO2         2   636.200     6.807     1.700    21.690     1.000
MD9DOOHJ        2   636.200     6.807     1.700    21.690     1.000
O2MD9DOOH       2   636.200     6.807     1.700    21.690     1.000
MD9DKET         2   636.200     6.807     1.700    21.690     1.000
C6H11CHO        2   581.300     6.506     2.000     0.000     1.000
MD              2   636.200     6.807     1.700    21.690     1.000
MDJ             2   636.200     6.807     1.700    21.690     1.000
MDJO2           2   636.200     6.807     1.700    21.690     1.000
MDOOHJ          2   636.200     6.807     1.700    21.690     1.000
O2MDOOH         2   636.200     6.807     1.700    21.690     1.000
MDKET           2   636.200     6.807     1.700    21.690     1.000
C6H13CHO        2   581.300     6.506     2.000     0.000     1.000
MP2D            2   429.900     5.137     1.706     6.940     1.000     
MP2DMJ          2   429.900     5.137     1.706     6.940     1.000  
MP3J            2   452.200     5.480     1.703     8.970     1.000    
C2H3CO          2   443.200     4.120     0.000     0.000     1.000
CH3OCO          2   395.000     4.037     1.300     0.000     1.000
C8H18           2   458.500     6.414     0.000     0.000     1.000 
C8H17           2   458.500     6.414     0.000     0.000     1.000
C8H16           2   485.600     6.440     0.300     0.000     1.000
C8H17OO         2   581.300     6.506     2.000     0.000     1.000
C8H16OOH        2   581.300     6.506     2.000     0.000     1.000
OOC8H16OOH      2   581.300     6.506     2.000     0.000     1.000
C8KET           2   581.300     6.506     2.000     0.000     1.000
C6H13CO         2   581.300     6.506     2.000     0.000     1.000
N               0   71.4000     3.298     0.000     0.000     0.000
N2O             1   232.400     3.828     0.000     0.000     1.000
NO              1    97.530     3.621     0.000     1.760     4.000
NO2             2   200.000     3.500     0.000     0.000     1.000
N2              1    97.530     3.621     0.000     1.760     4.000            
HE              0    10.200     2.576     0.000     0.000     0.000


